,Distance,Force,Intensity,Potential
0,1,9.216e-05,288000.0,288000.0
1,2,2.304e-05,72000.0,144000.0
2,3,1.024e-05,32000.0,96000.0
3,4,5.76e-06,18000.0,72000.0
4,5,3.6864e-06,11520.0,57600.0
5,6,2.56e-06,8000.0,48000.0
6,7,1.8808163265306121e-06,5877.551020408163,41142.857142857145
7,8,1.44e-06,4500.0,36000.0
8,9,1.1377777777777777e-06,3555.5555555555557,32000.0
9,10,9.216e-07,2880.0,28800.0
10,11,7.616528925619834e-07,2380.1652892561983,26181.81818181818
11,12,6.4e-07,2000.0,24000.0
12,13,5.453254437869822e-07,1704.1420118343194,22153.846153846152
13,14,4.7020408163265303e-07,1469.3877551020407,20571.428571428572
14,15,4.096e-07,1280.0,19200.0
15,16,3.6e-07,1125.0,18000.0
16,17,3.1889273356401386e-07,996.5397923875432,16941.176470588234
17,18,2.8444444444444443e-07,888.8888888888889,16000.0
18,19,2.5529085872576175e-07,797.7839335180056,15157.894736842105
19,20,2.304e-07,720.0,14400.0
20,21,2.089795918367347e-07,653.0612244897959,13714.285714285714
21,22,1.9041322314049586e-07,595.0413223140496,13090.90909090909
22,23,1.7421550094517957e-07,544.4234404536862,12521.739130434782
23,24,1.6e-07,500.0,12000.0
24,25,1.47456e-07,460.8,11520.0
25,26,1.3633136094674555e-07,426.03550295857985,11076.923076923076
26,27,1.2641975308641975e-07,395.0617283950617,10666.666666666666
27,28,1.1755102040816326e-07,367.3469387755102,10285.714285714286
28,29,1.0958382877526753e-07,342.44946492271106,9931.034482758621
29,30,1.024e-07,320.0,9600.0
30,31,9.590010405827264e-08,299.68782518210196,9290.322580645161
31,32,9e-08,281.25,9000.0
32,33,8.462809917355371e-08,264.46280991735534,8727.272727272728
33,34,7.972318339100347e-08,249.1349480968858,8470.588235294117
34,35,7.523265306122449e-08,235.10204081632654,8228.57142857143
35,36,7.111111111111111e-08,222.22222222222223,8000.0
36,37,6.731921110299489e-08,210.37253469685902,7783.783783783784
37,38,6.382271468144044e-08,199.4459833795014,7578.9473684210525
38,39,6.059171597633136e-08,189.3491124260355,7384.615384615385
39,40,5.76e-08,180.0,7200.0
40,41,5.482450922070196e-08,171.32659131469364,7024.390243902439
41,42,5.2244897959183676e-08,163.26530612244898,6857.142857142857
42,43,4.9843158464034615e-08,155.75987020010817,6697.674418604651
43,44,4.7603305785123965e-08,148.7603305785124,6545.454545454545
44,45,4.551111111111111e-08,142.22222222222223,6400.0
45,46,4.355387523629489e-08,136.10586011342156,6260.869565217391
46,47,4.172023540063377e-08,130.37573562698054,6127.659574468085
47,48,4e-08,125.0,6000.0
48,49,3.838400666389005e-08,119.95002082465639,5877.551020408163
49,50,3.6864e-08,115.2,5760.0
50,51,3.543252595155709e-08,110.72664359861592,5647.058823529412
51,52,3.408284023668639e-08,106.50887573964496,5538.461538461538
52,53,3.280882876468494e-08,102.52758988964044,5433.962264150943
53,54,3.160493827160494e-08,98.76543209876543,5333.333333333333
54,55,3.046611570247934e-08,95.20661157024793,5236.363636363636
55,56,2.9387755102040815e-08,91.83673469387755,5142.857142857143
56,57,2.8365650969529087e-08,88.6426592797784,5052.631578947368
57,58,2.7395957193816883e-08,85.61236623067776,4965.517241379311
58,59,2.647515081873025e-08,82.73484630853203,4881.35593220339
59,60,2.56e-08,80.0,4800.0
60,61,2.4767535608707338e-08,77.39854877721042,4721.311475409836
61,62,2.397502601456816e-08,74.92195629552549,4645.1612903225805
62,63,2.321995464852608e-08,72.56235827664399,4571.428571428572
63,64,2.25e-08,70.3125,4500.0
64,65,2.181301775147929e-08,68.16568047337279,4430.7692307692305
65,66,2.1157024793388428e-08,66.11570247933884,4363.636363636364
66,67,2.0530184896413454e-08,64.15682780129205,4298.507462686567
67,68,1.9930795847750866e-08,62.28373702422145,4235.294117647059
68,69,1.935727788279773e-08,60.49149338374291,4173.913043478261
69,70,1.8808163265306122e-08,58.775510204081634,4114.285714285715
70,71,1.8282086887522315e-08,57.13152152350724,4056.3380281690143
71,72,1.7777777777777777e-08,55.55555555555556,4000.0
72,73,1.7294051416776132e-08,54.04391067742541,3945.205479452055
73,74,1.682980277574872e-08,52.593133674214755,3891.891891891892
74,75,1.6384e-08,51.2,3840.0
75,76,1.595567867036011e-08,49.86149584487535,3789.4736842105262
76,77,1.554393658289762e-08,48.57480182155507,3740.2597402597403
77,78,1.514792899408284e-08,47.337278106508876,3692.3076923076924
78,79,1.476686428456978e-08,46.146450889280565,3645.5696202531644
79,80,1.44e-08,45.0,3600.0
80,81,1.4046639231824417e-08,43.895747599451305,3555.5555555555557
81,82,1.370612730517549e-08,42.83164782867341,3512.1951219512193
82,83,1.337784874437509e-08,41.805777326172155,3469.879518072289
83,84,1.3061224489795919e-08,40.816326530612244,3428.5714285714284
84,85,1.2755709342560554e-08,39.86159169550173,3388.235294117647
85,86,1.2460789616008654e-08,38.93996755002704,3348.8372093023254
86,87,1.2175980975029727e-08,38.049940546967896,3310.344827586207
87,88,1.1900826446280991e-08,37.1900826446281,3272.7272727272725
88,89,1.1634894584017169e-08,36.359045575053656,3235.955056179775
89,90,1.1377777777777778e-08,35.55555555555556,3200.0
90,91,1.112909068953025e-08,34.778408404782034,3164.835164835165
91,92,1.0888468809073723e-08,34.02646502835539,3130.4347826086955
92,93,1.0655567117585847e-08,33.29864724245577,3096.7741935483873
93,94,1.0430058850158443e-08,32.593933906745136,3063.8297872340427
94,95,1.021163434903047e-08,31.911357340720222,3031.5789473684213
95,96,1e-08,31.25,3000.0
96,97,9.794877245190774e-09,30.60899139122117,2969.0721649484535
97,98,9.596001665972512e-09,29.987505206164098,2938.7755102040815
98,99,9.403122130394858e-09,29.38475665748393,2909.090909090909
99,100,9.216e-09,28.8,2880.0
100,101,9.034408391334182e-09,28.232526222919322,2851.4851485148515
101,102,8.858131487889273e-09,27.68166089965398,2823.529411764706
102,103,8.68696389857668e-09,27.146762183052125,2796.116504854369
103,104,8.520710059171597e-09,26.62721893491124,2769.230769230769
104,105,8.359183673469387e-09,26.122448979591837,2742.8571428571427
105,106,8.202207191171234e-09,25.63189747241011,2716.9811320754716
106,107,8.049611319765919e-09,25.155035374268493,2691.588785046729
107,108,7.901234567901234e-09,24.691358024691358,2666.6666666666665
108,109,7.756922817944618e-09,24.24038380607693,2642.201834862385
109,110,7.616528925619835e-09,23.801652892561982,2618.181818181818
110,111,7.479912344777209e-09,23.37472607742878,2594.5945945945946
111,112,7.346938775510204e-09,22.959183673469386,2571.4285714285716
112,113,7.217479833972903e-09,22.554624481165323,2548.6725663716816
113,114,7.091412742382272e-09,22.1606648199446,2526.315789473684
114,115,6.968620037807183e-09,21.776937618147446,2504.3478260869565
115,116,6.848989298454221e-09,21.40309155766944,2482.7586206896553
116,117,6.73241288625904e-09,21.0387902695595,2461.5384615384614
117,118,6.6187877046825625e-09,20.683711577133007,2440.677966101695
118,119,6.50801497069416e-09,20.33754678341925,2420.168067226891
119,120,6.4e-09,20.0,2400.0
120,121,6.294652004644491e-09,19.670787514514036,2380.1652892561983
121,122,6.1918839021768345e-09,19.349637194302606,2360.655737704918
122,123,6.091612135633552e-09,19.036287923854847,2341.4634146341464
123,124,5.99375650364204e-09,18.730489073881373,2322.5806451612902
124,125,5.89824e-09,18.432,2304.0
125,126,5.80498866213152e-09,18.140589569160998,2285.714285714286
